TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,What matters most to you in choosing a course,A free copy of Mastering The Interview,Direct Traffic,Google,Olark Chat,Organic Search,API,Landing Page Submission,Finance Management,Unspecified,Mumbai,Converted
-0.7135931685882387,-0.8899736436158726,-1.0986993797344857,0,0,0,0,0,1,0,1,0,0,1,1,0
0.3240175193787972,0.3399717440664346,0.06644072754612018,0,0,0,0,0,0,1,1,0,0,1,1,0
-0.29854889340142443,1.9056885728964343,-0.166587293910001,1,0,1,1,0,0,0,0,1,0,0,1,1
-0.5060710309948316,-0.33339598301779594,-0.6326433368222433,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.29854889340142443,1.7159047148564341,-0.6326433368222433,0,0,0,0,1,0,0,0,1,0,1,1,1
-0.7135931685882387,-0.8899736436158726,-1.0986993797344857,0,0,0,0,0,1,0,1,0,0,1,1,0
-0.29854889340142443,2.1027718100918187,-0.166587293910001,0,0,0,0,1,0,0,0,1,0,0,1,1
-0.7135931685882387,-0.8899736436158726,-1.0986993797344857,0,0,0,0,0,1,0,1,0,0,1,1,0
-0.29854889340142443,-0.7604096636077958,-0.166587293910001,0,0,1,1,0,0,0,0,1,0,0,0,0
0.11649538178538997,-0.7841326458627957,0.7655247919144836,0,0,0,0,1,0,0,1,0,1,0,1,0
0.9465839321590187,1.5753916661152805,2.6297489635634532,0,0,1,0,0,0,1,0,1,0,0,0,1
0.9465839321590187,1.560792907804511,0.14567025484120136,0,0,1,1,0,0,0,0,1,0,0,0,1
1.5691503449392403,1.9166376416295112,4.02791709230018,0,0,0,0,0,0,1,1,0,0,0,1,1
0.3240175193787972,-0.5797500295120266,1.231580834826726,0,0,1,0,0,0,1,0,1,0,0,0,0
-0.5060710309948316,-0.012223300180872953,-0.6326433368222433,0,0,0,1,0,0,0,0,1,0,0,1,0
0.5315396569722044,0.9567692826964345,1.6976368777389683,0,0,0,0,0,0,1,1,0,0,1,1,1
-0.7135931685882387,-0.8899736436158726,-1.0986993797344857,0,0,0,0,0,1,0,1,0,0,1,1,0
0.5315396569722044,0.8856003359314344,1.6976368777389683,0,0,0,0,0,0,0,1,0,0,1,1,0
0.5315396569722044,2.190364359956434,0.29946874900224135,0,0,0,0,1,0,0,0,1,0,0,1,1
